epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.576,2.09458,2.08239,0.99645,0.42734,0.17556,0.13927,0.08876,2.12984,1.82741,0.98973,8.04091e-05,8.04091e-05,8.04091e-05
2,136.686,2.07583,2.02926,0.98473,0.39494,0.16961,0.13342,0.08068,2.20907,1.87843,0.99597,0.000160141,0.000160141,0.000160141
3,197.998,2.05614,1.99275,0.98311,0.36484,0.18663,0.13725,0.08491,1.97468,1.8193,0.96845,0.000238263,0.000238263,0.000238263
4,265.843,2.03361,1.94927,0.97562,0.37772,0.20124,0.14233,0.08751,1.98415,1.77835,0.96348,0.000236753,0.000236753,0.000236753
5,336.378,2.01082,1.9191,0.96775,0.42131,0.20281,0.14101,0.08902,2.10841,1.81479,0.97686,0.000234338,0.000234338,0.000234338
6,404.389,1.96991,1.89903,0.95991,0.33955,0.2157,0.14828,0.0934,1.96244,1.76657,0.9571,0.000231922,0.000231922,0.000231922
7,475.782,1.96835,1.91677,0.96373,0.45399,0.20793,0.14782,0.09388,2.0268,1.77698,0.95986,0.000229506,0.000229506,0.000229506
8,544.715,1.9672,1.86146,0.95651,0.47294,0.20343,0.15751,0.10127,1.97088,1.79188,0.9564,0.000227091,0.000227091,0.000227091
9,615.902,1.94322,1.85839,0.94835,0.4324,0.20741,0.15941,0.10382,1.90862,1.75949,0.95067,0.000224675,0.000224675,0.000224675
10,689.857,1.93351,1.8471,0.95023,0.39281,0.21335,0.15822,0.10067,2.13291,1.80229,0.97539,0.00022226,0.00022226,0.00022226
11,759.76,1.91083,1.82439,0.95527,0.42916,0.2064,0.15765,0.09417,1.92834,1.73749,0.94908,0.000219844,0.000219844,0.000219844
12,826.015,1.9372,1.82274,0.94694,0.41211,0.23365,0.17089,0.10526,1.93048,1.73167,0.94772,0.000217428,0.000217428,0.000217428
13,898.658,1.91178,1.80879,0.94465,0.39392,0.22356,0.17042,0.104,1.95916,1.73048,0.95401,0.000215013,0.000215013,0.000215013
