epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.311,1.99754,3.88737,1.9179,0.29674,0.11389,0.08372,0.05852,1.6013,2.96381,1.64681,0.000166102,0.000166102,0.000166102
2,237.76,1.39052,2.57468,1.44459,0.30606,0.12862,0.11703,0.07963,1.46388,2.81955,1.52996,0.000329474,0.000329474,0.000329474
3,353.032,1.26223,2.1624,1.34232,0.21812,0.14904,0.11267,0.07119,1.41791,2.91582,1.4562,0.000489546,0.000489546,0.000489546
4,467.986,1.18532,1.85441,1.28964,0.24857,0.21178,0.11195,0.07424,1.45268,2.85445,1.52434,0.00048515,0.00048515,0.00048515
5,581.376,1.12864,1.63146,1.24484,0.23995,0.15688,0.11406,0.07751,1.38586,3.10664,1.46568,0.0004802,0.0004802,0.0004802
6,695.063,1.09392,1.47682,1.23128,0.2524,0.16747,0.11605,0.08035,1.35831,3.01129,1.38832,0.00047525,0.00047525,0.00047525
7,810.781,1.05202,1.33028,1.20751,0.12426,0.19732,0.12787,0.07547,1.52957,3.18643,1.52548,0.0004703,0.0004703,0.0004703
8,926.119,1.01479,1.23141,1.19365,0.12763,0.192,0.094,0.06072,1.51833,3.3243,1.56274,0.00046535,0.00046535,0.00046535
9,1041.41,0.99635,1.14269,1.18039,0.19478,0.20011,0.12624,0.07892,1.49368,3.40779,1.56114,0.0004604,0.0004604,0.0004604
10,1159.51,0.97812,1.08219,1.17049,0.1719,0.20509,0.11778,0.07693,1.47249,3.27057,1.51199,0.00045545,0.00045545,0.00045545
11,1277.98,0.9594,1.02474,1.15795,0.16727,0.24812,0.10791,0.07255,1.42782,3.30584,1.49533,0.0004505,0.0004505,0.0004505
12,1394.87,0.93345,0.97295,1.14625,0.28649,0.21418,0.14508,0.09812,1.43495,3.06048,1.45704,0.00044555,0.00044555,0.00044555
13,1511.96,0.91458,0.93662,1.12859,0.2353,0.13765,0.14558,0.09988,1.45237,3.20373,1.53902,0.0004406,0.0004406,0.0004406
14,1629.51,0.90551,0.91392,1.12714,0.24821,0.18928,0.16649,0.11807,1.5164,3.31092,1.52735,0.00043565,0.00043565,0.00043565
15,1747.26,0.90317,0.88492,1.12118,0.29181,0.17218,0.13623,0.09709,1.44728,3.33756,1.49887,0.0004307,0.0004307,0.0004307
16,1863.51,0.87735,0.85395,1.10633,0.2094,0.24255,0.16405,0.11291,1.50413,3.24508,1.5383,0.00042575,0.00042575,0.00042575
17,1980.86,0.8696,0.82686,1.09928,0.28094,0.15805,0.12394,0.08644,1.3799,3.30358,1.45812,0.0004208,0.0004208,0.0004208
18,2097.52,0.8725,0.82958,1.1057,0.15043,0.24287,0.16175,0.11802,1.40627,3.26805,1.47822,0.00041585,0.00041585,0.00041585
19,2214.46,0.85368,0.80058,1.09445,0.25788,0.15366,0.11808,0.07968,1.41209,3.37527,1.49934,0.0004109,0.0004109,0.0004109
20,2331.05,0.83669,0.77748,1.08708,0.25898,0.18563,0.10978,0.07834,1.46443,3.54617,1.48933,0.00040595,0.00040595,0.00040595
21,2447.94,0.84472,0.78884,1.08857,0.11359,0.23151,0.12042,0.08355,1.40528,3.54908,1.47312,0.000401,0.000401,0.000401
22,2563.67,0.83298,0.7644,1.08283,0.1352,0.27099,0.16848,0.12466,1.3289,3.23344,1.40179,0.00039605,0.00039605,0.00039605
23,2678.17,0.81985,0.74087,1.077,0.16225,0.21098,0.16056,0.10994,1.47901,3.43752,1.4979,0.0003911,0.0003911,0.0003911
24,2790.98,0.81315,0.7356,1.07337,0.16825,0.2233,0.14824,0.09787,1.49667,3.3812,1.52394,0.00038615,0.00038615,0.00038615
25,2905.46,0.81051,0.7318,1.0719,0.18667,0.21911,0.12447,0.08904,1.38767,3.31444,1.45847,0.0003812,0.0003812,0.0003812
26,3020.11,0.80791,0.71115,1.06696,0.12553,0.2638,0.13374,0.09105,1.49703,3.36352,1.55643,0.00037625,0.00037625,0.00037625
27,3134.46,0.79527,0.70338,1.06469,0.20951,0.25439,0.16801,0.1163,1.51633,3.30892,1.56925,0.0003713,0.0003713,0.0003713
28,3246.21,0.80253,0.7144,1.06459,0.14653,0.23447,0.15413,0.10928,1.41249,3.41745,1.46656,0.00036635,0.00036635,0.00036635
29,3357.58,0.78557,0.68877,1.05559,0.17747,0.27289,0.18787,0.13025,1.53669,3.30037,1.57757,0.0003614,0.0003614,0.0003614
30,3471.41,0.78474,0.67151,1.05496,0.13768,0.21104,0.13009,0.08499,1.54375,3.67872,1.60223,0.00035645,0.00035645,0.00035645
31,3584.07,0.77895,0.67145,1.05229,0.1489,0.26205,0.17949,0.12566,1.52945,3.63706,1.58082,0.0003515,0.0003515,0.0003515
32,3696.25,0.77829,0.6726,1.04973,0.14737,0.26989,0.17718,0.1183,1.49101,3.42027,1.54295,0.00034655,0.00034655,0.00034655
33,3811.27,0.7716,0.65753,1.04558,0.23054,0.22194,0.17779,0.12918,1.43112,3.49401,1.52981,0.0003416,0.0003416,0.0003416
34,3925.62,0.77011,0.6501,1.04514,0.14763,0.27058,0.18963,0.13519,1.4267,3.43309,1.51006,0.00033665,0.00033665,0.00033665
35,4043.71,0.77313,0.65091,1.05229,0.17532,0.21678,0.13013,0.08908,1.58361,3.65423,1.60746,0.0003317,0.0003317,0.0003317
36,4158.64,0.76003,0.64198,1.04391,0.17391,0.20264,0.16578,0.11212,1.57703,3.4909,1.61701,0.00032675,0.00032675,0.00032675
37,4273.73,0.75406,0.63013,1.03478,0.16858,0.2413,0.18715,0.1253,1.53906,3.41202,1.58074,0.0003218,0.0003218,0.0003218
38,4389.1,0.73575,0.61792,1.02842,0.18557,0.19181,0.17782,0.12134,1.60422,3.60159,1.63712,0.00031685,0.00031685,0.00031685
39,4503.83,0.74852,0.62901,1.03295,0.21891,0.17031,0.15528,0.10718,1.50758,3.58781,1.54755,0.0003119,0.0003119,0.0003119
40,4616.52,0.74068,0.61557,1.03,0.23337,0.20495,0.17433,0.11943,1.43533,3.54033,1.52805,0.00030695,0.00030695,0.00030695
41,4730.82,0.73713,0.61342,1.02714,0.13697,0.21794,0.16826,0.11212,1.54649,3.67425,1.58256,0.000302,0.000302,0.000302
42,4845.4,0.73935,0.60876,1.0331,0.14612,0.24744,0.16683,0.11249,1.43106,3.47806,1.5385,0.00029705,0.00029705,0.00029705
43,4959.88,0.73175,0.60383,1.02314,0.20829,0.23209,0.18663,0.12316,1.52439,3.52437,1.57398,0.0002921,0.0002921,0.0002921
44,5073.72,0.72128,0.58224,1.01784,0.38269,0.16193,0.16195,0.10608,1.50525,3.61795,1.60685,0.00028715,0.00028715,0.00028715
45,5186.01,0.72472,0.58916,1.02096,0.14243,0.23597,0.16069,0.10871,1.42288,3.41665,1.50456,0.0002822,0.0002822,0.0002822
46,5298.7,0.72543,0.59252,1.01871,0.13504,0.2497,0.15572,0.10741,1.53948,3.63519,1.62524,0.00027725,0.00027725,0.00027725
47,5412.34,0.71712,0.5797,1.02079,0.22565,0.20671,0.18368,0.12817,1.4773,3.40646,1.55476,0.0002723,0.0002723,0.0002723
48,5526.31,0.71263,0.57004,1.01764,0.1719,0.20853,0.154,0.10169,1.45265,3.47686,1.53051,0.00026735,0.00026735,0.00026735
49,5641.46,0.71308,0.5746,1.01753,0.1493,0.27651,0.17987,0.12565,1.40531,3.44685,1.47416,0.0002624,0.0002624,0.0002624
50,5758.97,0.71697,0.57669,1.01702,0.24619,0.19562,0.16382,0.1074,1.59735,3.66925,1.62958,0.00025745,0.00025745,0.00025745
51,5875.76,0.70077,0.56067,1.01071,0.15017,0.23504,0.17322,0.1196,1.55463,3.62173,1.61802,0.0002525,0.0002525,0.0002525
52,5993.57,0.70919,0.56896,1.01584,0.22397,0.21946,0.17103,0.11924,1.52514,3.67533,1.58788,0.00024755,0.00024755,0.00024755
53,6108.66,0.69169,0.55857,1.00791,0.19497,0.22954,0.16073,0.10954,1.55422,3.68037,1.64219,0.0002426,0.0002426,0.0002426
54,6224.68,0.69096,0.55031,1.0087,0.17352,0.23519,0.1645,0.11667,1.48576,3.67711,1.57541,0.00023765,0.00023765,0.00023765
55,6340.54,0.68605,0.5398,1.00345,0.25391,0.18524,0.16242,0.10609,1.52212,3.77833,1.60948,0.0002327,0.0002327,0.0002327
56,6455.22,0.68969,0.55114,1.00298,0.28405,0.17785,0.16508,0.1153,1.48839,3.68755,1.57441,0.00022775,0.00022775,0.00022775
57,6571.86,0.68186,0.53918,1.00307,0.17519,0.21976,0.16726,0.11372,1.5239,3.68577,1.60709,0.0002228,0.0002228,0.0002228
58,6689.04,0.67926,0.54649,1.00049,0.1539,0.19748,0.15723,0.10896,1.53494,3.85101,1.61815,0.00021785,0.00021785,0.00021785
59,6805.83,0.67621,0.53579,0.99962,0.3078,0.19033,0.1604,0.10899,1.58358,3.75116,1.64942,0.0002129,0.0002129,0.0002129
60,6921.99,0.67771,0.53488,1.00231,0.23379,0.19039,0.15975,0.10986,1.50614,3.75977,1.58214,0.00020795,0.00020795,0.00020795
61,7037.62,0.67571,0.53202,0.99999,0.13911,0.22007,0.15218,0.10462,1.57523,3.86121,1.6363,0.000203,0.000203,0.000203
62,7153.36,0.66957,0.52931,0.99712,0.21302,0.21354,0.16779,0.11762,1.47331,3.76433,1.56715,0.00019805,0.00019805,0.00019805
63,7268.07,0.67016,0.52089,0.99084,0.12009,0.23749,0.15748,0.11112,1.55819,3.85285,1.63941,0.0001931,0.0001931,0.0001931
64,7386.34,0.66583,0.52118,0.99028,0.22366,0.2284,0.17593,0.12447,1.52369,3.88898,1.60848,0.00018815,0.00018815,0.00018815
